Title,Price,Bedroom,Bathroom,Area sqm,DistrictID,Furnished,ProvinceID,Community_id
Classy | Fully Furnished | Apartment For Sale,1600000,3,5,318,28,yes,2,535
Shared Pool&Gym | Panoramic Sea And City View | High Floor,2900000,4,6,550,28,no,2,969
Chalet for sale in Faraya/Garden شاليه للبيع في فاريا,335000,2,2,175,32,yes,6,688
High End Duplex for Sale in Mansourieh,350000,4,5,300,24,yes,6,140
Apartment for Sale with Terrace and Garden in Monteverde,420000,3,3,300,24,no,6,324
Fully Furnished & Renovated Chalet From A To Z | Rimal,800000,2,2,120,32,yes,6,726
Beautiful catchy apartment for Sale in Deir Qoubel,130000,3,3,240,13,no,6,660
Apartment for sale in Biyada/Terrace  شقة للبيع في البياضة,800000,4,6,650,24,no,6,796
Apartment for sale in Bsalim/New/Terrace شقة للبيع في بصاليم,300000,3,3,179,24,no,6,393
Luxurious duplex for sale in Yarzeh|Rooftop|sea view,1100000,5,5,370,15,no,6,292
Apartment for sale in Yarzeh,420000,3,4,200,15,no,6,292
Spacious apartment for sale in Rabieh,2500000,4,5,550,24,no,6,723
Spacious apartment for sale in Rabieh | Terrace,3000000,4,5,650,24,no,6,723
Chalet for sale in Faqra/Garden/View شاليه للبيع في فقرا,950000,4,3,353,32,yes,6,1089
Luxury chalet for sale in Mzaar,180000,2,1,70,32,yes,6,688
Fully furnished luxury chalet for sale in Mzaar,450000,3,3,120,32,yes,6,688
Catchy apartment for sale in Hazmieh |Mart Takla,160000,3,4,160,15,no,6,74
Astonishing Mtayleb high-end Duplex 425Sqm,1125000,4,5,425,24,no,6,760
Luxurious Apartment with open view l 280m +75m Garden l,750000,3,4,300,24,no,6,760
Luxurious Garden Apartment with open view l 280m +355m Garden l,870000,4,4,360,24,no,6,760
Very Suitable Apartment in Jal El Dib For Sale,145000,3,3,170,24,no,6,939
Duplex For Sale in Ain Alak - Hot Deal,300000,3,2,230,24,yes,6,433
Villa for sale in Faqra/Pool فيلا للبيع في فقرا,3000000,3,4,883,32,yes,6,1089
Villa for sale in Faqra/Pool/Furnished فيلا للبيع في فقرا,1800000,5,5,440,32,yes,6,1089
Nice Apartment | Great Location,155000,3,2,150,15,yes,6,909
Apartment for sale in Hazmieh |sea view,600000,4,5,255,15,no,6,74
Apartment for Sale in Mansourieh,225000,2,3,200,24,no,6,140
Panoramic view / Apartment In Biaqout for Sale,300000,3,3,200,24,no,6,139
Exclusive Apartment for Sale l Beit el Chaar,365000,3,3,300,24,no,6,175
Duplex for Sale in Biyada,1100000,3,4,373,24,no,6,796
Chalet for sale in Faqra/Terrace شاليه للبيع في فقرا,350000,2,4,152,32,yes,6,1089
Apartment for sale in Kornet Chehwan -Beit El Kikko-,235000,3,3,243,24,partly,6,684
Duplex with Breathtaking View in Beit el Chaar l 410Sqm l,950000,3,5,410,24,no,6,175
High-end Finishing apartment with garden + terrace for sale in Beit el Chaar 300Sqm,630000,3,4,300,24,no,6,175
Beautiful Rooftop | Huge Terrace,450000,3,2,210,28,yes,2,969
Land for sale in prime location rabieh,3200000,,,1574,24,no,6,723
Apartment for sale in Bsalim/Garden شقة للبيع في بصاليم,550000,3,3,333,24,no,6,393
Apartment for sale in Bsalim/terrace شقة للبيع في بصاليم,250000,2,3,200,24,no,6,393
Apartment for sale in Bsalim/ Duplex شقة للبيع في بصاليم,350000,4,4,280,24,no,6,393
Brand new Luxury apartment for sale,1000000,4,5,345,28,no,2,831
