Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Hazmieh, Baabda, Mount Lebanon",575000,270,3,4,yes
"Rabweh, El Metn, Mount Lebanon",105000,117,2,2,no
"Mansourieh, El Metn, Mount Lebanon",295000,160,2,3,no
"Tabarja, Kesrouane, Mount Lebanon",100000,155,3,3,no
"Beit Meri, El Metn, Mount Lebanon",850000,649,5,8,no
"Ain Najm, El Metn, Mount Lebanon",900000,700,5,5,yes
"Achrafieh, Beirut, Beirut",1000000,200,3,3,no
"Ain Najm, El Metn, Mount Lebanon",300000,350,4,4,no
"Ballouneh, Kesrouane, Mount Lebanon",290000,300,4,4,no
"Bsalim, El Metn, Mount Lebanon",220000,150,3,3,no
"Achrafieh, Beirut, Beirut",1500000,400,3,3,no
"Achrafieh, Beirut, Beirut",309999,250,3,4,no
"Deir Al Qamar, Chouf, Mount Lebanon",330000,450,2,2,no
"Faqra, Kesrouane, Mount Lebanon",379999,200,3,6,yes
"Hazmieh, Baabda, Mount Lebanon",575000,270,3,4,yes
"Boutchay, Baabda, Mount Lebanon",320000,425,3,4,no
"Boutchay, Baabda, Mount Lebanon",150000,125,2,2,no
"Achrafieh, Beirut, Beirut",530000,240,3,4,no
"Qennabet Baabdat, El Metn, Mount Lebanon",170000,150,3,2,yes
"Achrafieh, Beirut, Beirut",150000,90,2,1,yes
"Ramlet al-Baydah, Beirut, Beirut",1200000,350,4,5,no
"Baabdat, El Metn, Mount Lebanon",500000,370,4,5,no
"Baabdat, El Metn, Mount Lebanon",350000,220,4,5,no
"Faqra, Kesrouane, Mount Lebanon",220000,90,2,2,yes
"Hadath, Baabda, Mount Lebanon",270000,170,3,3,yes
"Baabda, Baabda, Mount Lebanon",360000,235,4,5,no
"Jouret Al Ballout, El Metn, Mount Lebanon",220000,208,3,4,no
"Qortadah, El Metn, Mount Lebanon",180000,650,N/A,N/A,no
"Beit Meri, El Metn, Mount Lebanon",225000,210,3,3,yes
"Mansourieh, El Metn, Mount Lebanon",149999,130,2,3,no
"Yarzeh, Baabda, Mount Lebanon",1100000,400,4,6,yes
"Beit Meri, El Metn, Mount Lebanon",350000,220,3,4,no
"Saifi, Beirut, Beirut",1300000,370,4,6,yes
"Hbous, El Metn, Mount Lebanon",470000,394,3,4,no
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",350000,100,3,2,yes
"Faraya, Kesrouane, Mount Lebanon",210000,125,2,2,yes
"Baabdat, El Metn, Mount Lebanon",190000,160,2,3,no
"Mar Chaaya, El Metn, Mount Lebanon",500000,308,3,4,no
"Bharsaf, El Metn, Mount Lebanon",300000,270,3,3,no
"Hbous, El Metn, Mount Lebanon",325000,202,3,3,no
"Hbous, El Metn, Mount Lebanon",370000,234,3,3,no
"Dbayeh, El Metn, Mount Lebanon",250000,180,3,4,yes
"Hbous, El Metn, Mount Lebanon",135000,105,2,2,no
"Ain Aar, El Metn, Mount Lebanon",320000,210,3,5,no
"Boutchay, Baabda, Mount Lebanon",200000,300,3,3,no
"Mtayleb, El Metn, Mount Lebanon",300000,220,3,3,no
"Hazmieh, Baabda, Mount Lebanon",650000,250,3,4,no
"Salim Slam, Beirut, Beirut",320000,220,3,4,no
"Hazmieh, Baabda, Mount Lebanon",730000,350,4,3,no
"Haret El Sett, Baabda, Mount Lebanon",450000,225,4,4,no
"Haret El Sett, Baabda, Mount Lebanon",246000,123,2,2,no
"Boutchay, Baabda, Mount Lebanon",250000,234,3,4,no
"Ajaltoun, Kesrouane, Mount Lebanon",114999,120,2,2,yes
"Boutchay, Baabda, Mount Lebanon",220000,175,3,4,no
"Mansourieh, El Metn, Mount Lebanon",1500000,2985,N/A,N/A,no
"Rabieh, El Metn, Mount Lebanon",1350000,720,4,6,no
"Ain Saadeh, El Metn, Mount Lebanon",750000,2300,N/A,N/A,no
"Rabieh, El Metn, Mount Lebanon",2600000,1150,8,8,no
"Rabieh, El Metn, Mount Lebanon",930000,325,3,5,partly
"Hazmieh, Baabda, Mount Lebanon",850000,300,3,5,partly
"Naqqache, El Metn, Mount Lebanon",750000,750,N/A,N/A,no
"Rabieh, El Metn, Mount Lebanon",1600000,535,4,6,no
"Chahtoul, Kesrouane, Mount Lebanon",825000,818,5,6,yes
"Rabieh, El Metn, Mount Lebanon",1100000,360,3,5,partly
"Jal el Dib, El Metn, Mount Lebanon",250000,225,4,4,no
"Ouyoun Broummana, El Metn, Mount Lebanon",185000,175,3,3,no
"Baabda, Baabda, Mount Lebanon",517000,235,3,5,no
"Ramlet al-Baydah, Beirut, Beirut",1600000,400,3,5,yes
"Rabieh, El Metn, Mount Lebanon",1200000,630,8,6,no
"Ras El Nabeh, Beirut, Beirut",240000,160,3,3,no
"Yarzeh, Baabda, Mount Lebanon",4700000,2940,N/A,N/A,no
"Ain Saadeh, El Metn, Mount Lebanon",1780000,1618,N/A,N/A,no
"Yarzeh, Baabda, Mount Lebanon",1100000,530,4,5,no
"Yarzeh, Baabda, Mount Lebanon",1000000,555,4,6,no
"Saint Nicolas, Beirut, Beirut",1150000,250,3,4,yes
"Dekwaneh, El Metn, Mount Lebanon",339000,130,2,3,no
"Yarzeh, Baabda, Mount Lebanon",740000,270,3,4,no
"Yarzeh, Baabda, Mount Lebanon",1800000,683,4,5,no
"Jounieh, Kesrouane, Mount Lebanon",97500,120,2,2,partly
"Achrafieh, Beirut, Beirut",575000,151,2,3,no
"Achrafieh, Beirut, Beirut",675000,192,2,5,no
"Achrafieh, Beirut, Beirut",615000,177,2,4,no
"Achrafieh, Beirut, Beirut",330000,110,2,3,no
"Achrafieh, Beirut, Beirut",315000,105,2,3,no
"Achrafieh, Beirut, Beirut",530000,188,3,3,no
"Achrafieh, Beirut, Beirut",390000,130,2,4,no
"Sioufi, Beirut, Beirut",520000,255,3,3,no
"Sioufi, Beirut, Beirut",400000,170,3,3,yes
"Ghadir, Kesrouane, Mount Lebanon",95000,96,2,1,yes
"Aramoun, Aley, Mount Lebanon",125000,250,4,4,no
"Naqqache, El Metn, Mount Lebanon",220000,216,3,3,no
"Naqqache, El Metn, Mount Lebanon",320000,216,3,3,no
"Hazmieh, Baabda, Mount Lebanon",650000,460,4,5,no
"Aatchane, El Metn, Mount Lebanon",170000,130,3,4,no
"Mansourieh, El Metn, Mount Lebanon",155000,160,3,2,no
"Bsefrine, El Metn, Mount Lebanon",150000,115,2,2,yes
"Unesco, Beirut, Beirut",950000,350,3,5,no
"Burj Abi Haidar, Beirut, Beirut",230000,175,3,3,no
"Louaizeh, Baabda, Mount Lebanon",500000,210,3,4,no
"Baabda, Baabda, Mount Lebanon",850000,590,3,6,no
"Yarzeh, Baabda, Mount Lebanon",750000,304,3,3,no
"Naqqache, El Metn, Mount Lebanon",185000,135,2,2,no
"Naqqache, El Metn, Mount Lebanon",400000,350,3,3,no
"Naqqache, El Metn, Mount Lebanon",140000,130,2,1,no
"Fanar, El Metn, Mount Lebanon",170000,150,3,3,no
"Hazmieh, Baabda, Mount Lebanon",400000,240,3,4,no
"Hazmieh, Baabda, Mount Lebanon",300000,170,3,3,yes
